,user_id,trial_number,phrase_text,adverb,direction
0,0,-1,smoothly backward,smoothly,backward
1,0,0,harshly forward,harshly,forward
2,0,1,down and to the right,,down-right
3,0,2,down and to the left,,down-left
4,0,3,quickly down,quickly,down
5,0,4,slowly up,slowly,up
6,0,5,softly to the right and forward,softly,forward-right
7,0,6,lightly up,lightly,up
8,0,7,sharply right,sharply,right
9,0,8,significantly forward and to the right,significantly,forward-right
10,0,9,gradually right and forward,gradually,forward-right
11,0,10,sharply up and backward,sharply,backward-up
12,0,11,smoothly forward and down,smoothly,down-forward
13,0,12,immediately right and forward,immediately,forward-right
14,0,13,immediately backward and to the right,immediately,backward-right
15,0,14,gradually down,gradually,down
16,0,15,gradually down and right,gradually,down-right
17,0,16,greatly down and forward,greatly,down-forward
18,0,17,smoothly down and backward,smoothly,backward-down
19,0,18,lightly up and to the right,lightly,right-up
20,0,19,sharply up and to the right,sharply,right-up
21,0,20,quickly right,quickly,right
22,0,21,slowly down and to the right,slowly,down-right
23,0,22,gradually forward and to the left,gradually,forward-left
24,0,23,softly forward and right,softly,forward-right
25,0,24,slowly down and right,slowly,down-right
26,0,25,immediately down and right,immediately,down-right
27,0,26,immediately up and right,immediately,right-up
28,0,27,slowly right,slowly,right
29,0,28,softly up and right,softly,right-up
30,0,29,harshly down and left,harshly,down-left
31,0,30,lightly down and right,lightly,down-right
32,0,31,smoothly left and forward,smoothly,forward-left
33,0,32,harshly up and right,harshly,right-up
34,0,33,slightly up and left,slightly,left-up
35,0,34,softly back,softly,backward
36,0,35,greatly up and right,greatly,right-up
37,0,36,down and left,,down-left
38,0,37,quickly back and right,quickly,backward-right
39,0,38,smoothly down and left,smoothly,down-left
40,0,39,slowly forward and right,slowly,forward-right
41,0,40,down and left,,down-left
42,1,-1,quickly back,quickly,backward
43,1,1,to the right,,right
44,1,2,to the left,,left
45,1,4,up,,up
46,1,5,left and down,,down-left
47,1,6,back and up,,backward-up
48,1,7,forward and down,,down-forward
49,1,8,slightly back and left,slightly,backward-left
50,1,9,slightly down and to the right,slightly,down-right
51,1,10,smoothly forward and down,smoothly,down-forward
52,1,11,smoothly up,smoothly,up
53,1,12,up and to the left,,left-up
54,1,13,to the right,,right
55,1,14,lightly down and to the right,lightly,down-right
56,1,15,smoothly down and back,smoothly,backward-down
57,1,16,gently down and to the right,softly,down-right
58,1,17,gently back,softly,backward
59,1,18,sharply forward and down,sharply,down-forward
60,1,19,sharply back and up,sharply,backward-up
61,1,20,quickly up and to the left,quickly,left-up
62,1,21,slowly back and to the right,slowly,backward-right
63,1,22,quickly back and to the right,quickly,backward-right
64,1,23,up and to the left,,left-up
65,1,24,quickly to the left,quickly,left
66,1,25,gently back and up,softly,backward-up
67,1,26,quickly down,quickly,down
68,1,27,immediately up,immediately,up
69,1,28,back slightly,slightly,backward
70,1,29,down and to the left,,down-left
71,1,30,down and to the right quickly,quickly,down-right
72,1,31,up and back lightly,lightly,backward-up
73,1,32,back smoothly,smoothly,backward
74,1,33,up and to the right quickly,quickly,right-up
75,1,34,smoothly down and to the right,smoothly,down-right
76,1,35,significantly up and to the right,significantly,right-up
77,1,36,significantly to the right,significantly,right
78,1,37,significantly down,significantly,down
79,1,38,down and to the right,,down-right
80,1,39,up and to the right,,right-up
81,1,40,slightly forward,slightly,forward
82,1,-1,quickly backward,quickly,backward
83,1,0,quickly forward,quickly,forward
84,1,1,sharply right,sharply,right
85,1,2,sharply left,sharply,left
86,1,3,quickly down,quickly,down
87,1,4,significantly up,significantly,up
88,1,5,quickly forward and left,quickly,forward-left
89,2,6,quickly up and backward,quickly,backward-up
90,2,7,greatly down and left,greatly,down-left
91,2,8,greatly down,greatly,down
92,2,9,quickly right,quickly,right
93,2,10,up and forward,,forward-up
94,2,11,back and down,,backward-down
